déjà	already
plus tôt	earlier
assez	quite
trop	too much
malheureusement	unfortunately
très	very
et	and
parce que	because
mais	but
ni	neither
ou	or
donc	so
onzième	eleventh
cinquième	fifth
cinquante	fifty
quarante	forty
quatrième	fourth
soixante	sixty
treizième	thirteenth
douzième	twelfth
zéro	zero
dix-huit	eighteen
onze	eleven
quinze	fifteen
quatorze	fourteen
dix-neuf	nineteen
dix-sept	seventeen
seize	sixteen
treize	thirteen
trente	thirty
douze	twelve
vingt	twenty
Parlez-vous anglais ?	Do you speak English?
excuse-moi	excuse me (informal)
bonne nuit	good night
Bonne journée !	Have a nice day!
salut	hi / bye
Comment allez-vous ?	How are you? (formal)
Comment ça va ?	How are you? (informal)
C'est par où …, s'il vous plaît?	How to get to ..., please?
Je ne comprends pas	I don't understand
ça va	I'm fine
ça va très bien	I'm very well
Je m'appelle …	My name is …
Enchanté	Nice to meet you (m)
pas mal	quite good
À tout à l'heure !	See you in a bit!
À plus tard !	See you later!
pardon	sorry
merci beaucoup	thank you very much
Comment vous appelez-vous ?	What's your name? (formal)
Comment tu t'appelles ?	What's your name? (informal)
Où sont les toilettes ?	Where are the toilets?
Où est la gare ?	Where is the train station?
de rien	you're welcome
après	after
avant	before
enfin	finally
ensuite	next
puis	then
une année	a year (duration)
une demi-heure	half an hour
un jour	one day
un an	one year
la journée	the day (duration)
la minute	the minute
le mois	the month
la seconde	the second
la semaine	the week
un ascenseur	a lift
la côte	the coast
la clé	the key
la réception	the reception
le sable	the sand
le shampoing	the shampoo
le savon	the soap
la crème solaire	the sun cream
la serviette	the towel
confirmer	to confirm
la confirmation de réservation	the booking confirmation
